Model,CENT/GPU Normalized Token / J
Llama2-7B,0.3749213713449163
Llama2-13B,0.36297377522187046
Llama2-70B,0.5467316294139848
Llama2-7B,4.240811497938709
Llama2-13B,2.129189546157037
Llama2-70B,1.7883162074279635
Llama2-7B,3.843785702697071
Llama2-13B,1.8820073475336117
Llama2-70B,1.602326393659783
Geomean,2.2631351470771186
