CENT Throughput (Query/min),CENT Latency (min),GPU Throughput (Query/min),GPU Latency (min)
1.6520651083573084,0.6590873296496382,0.47,2.1176666666666666
3.204103303202986,0.6764179626,0.91,2.1861666666666664
5.8769368347492685,0.7286725595000001,1.76,2.266833333333333
9.82136220552025,0.8583524029666666,3.21,2.495166666666667
14.790205654876662,1.1192511063166666,5.02,3.184833333333333
17.341466650824927,4.6793082231207075,8.42,3.802333333333333
,,12.36,5.178666666666667
,,15.02,8.521666666666667
