Model,CENT/GPU Normalized Throughput (Tokens/s)
Llama2-7B,0.32698027793510187
Llama2-13B,0.4159831141577582
Llama2-70B,0.45839419444945095
Llama2-7B,2.969321044238323
Llama2-13B,4.125309516031173
Llama2-70B,1.2546321322162681
Llama2-7B,2.769597920580242
Llama2-13B,3.8174941660356407
Llama2-70B,1.1767834228260254
Geomean,2.3172019366878787
