Model,Device number,Data parallelism,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency,Throughput,Token energy,Total power,Device utilization
Llama2-70B,68,4,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,2844.116626769728,678.5906654635105,2066.6089011084214,0.9411764705882353
Llama2-70B,72,4,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,2844.116626769728,678.5906654635105,2066.6089011084214,0.8888888888888888
Llama2-70B,76,4,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,2844.116626769728,678.5906654635105,2066.6089011084214,0.8421052631578947
Llama2-70B,80,1,80,1,32,32,2048,0.265513,0.005305999450683593,0.016486999999999998,0.2873059994506836,0.1213595,23.255839456054684,3439.996227664528,725.8756361757582,2733.861001818209,1.0
Llama2-70B,84,1,80,1,32,32,2048,0.265513,0.005305999450683593,0.016486999999999998,0.2873059994506836,0.1213595,23.255839456054684,3439.996227664528,725.8756361757582,2733.861001818209,0.9523809523809523
Llama2-70B,88,2,80,1,32,16,2048,0.502329,0.001888666483561198,0.032973999999999996,0.5371916664835612,0.238004,43.36333731868489,3689.752908641037,687.996294377446,2739.2258634378904,0.9090909090909091
Llama2-70B,92,2,80,1,32,16,2048,0.502329,0.001888666483561198,0.032973999999999996,0.5371916664835612,0.238004,43.36333731868489,3689.752908641037,687.996294377446,2739.2258634378904,0.8695652173913043
Llama2-70B,96,4,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,3799.97669149769,669.306096593316,2737.479037466948,0.8333333333333334
Llama2-70B,100,4,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,3799.97669149769,669.306096593316,2737.479037466948,0.8
Llama2-70B,104,4,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,3799.97669149769,669.306096593316,2737.479037466948,0.7692307692307693
Llama2-70B,108,4,80,1,32,8,2048,0.977989,0.000912285635811942,0.06594799999999999,1.0448492856358118,0.4731,84.21104285086496,3799.97669149769,669.306096593316,2737.479037466948,0.7407407407407407
Llama2-70B,112,4,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,4719.980936608888,690.2691623372527,3494.4144700293755,0.9642857142857143
Llama2-70B,116,4,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,4719.980936608888,690.2691623372527,3494.4144700293755,0.9310344827586207
Llama2-70B,120,4,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,4719.980936608888,690.2691623372527,3494.4144700293755,0.9
Llama2-70B,124,4,80,1,32,10,2048,0.79014,0.0012051998901367188,0.04946099999999999,0.8408061998901366,0.382388,67.79688399121095,4719.980936608888,690.2691623372527,3494.4144700293755,0.8709677419354839
Llama2-70B,128,8,80,1,32,6,2048,1.313438,0.0007495554945203993,0.082435,1.3966225554945206,0.6331625,112.51296693956165,5688.233253539456,678.5906654635105,4133.217802216843,1.0
