Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
GPT3-175B,96,96,1,32,32,128,0.430399,0.00780939453125,0.006932,0.44514039453125,0.18108,43.064557875,2229.2113221886875,1626.5261814421572,3779.112361883176,1.0
GPT3-175B,96,96,1,32,32,188,0.431013,0.00780939453125,0.00755075,0.44637314453125,0.18108,43.182901875,2223.102103649444,1624.6732958167695,3769.429914681852,1.0
GPT3-175B,96,96,1,32,32,1080,0.450397,0.00780939453125,0.0167495,0.47495589453125,0.18108,45.926845875,2090.2807099204047,1661.3150860848964,3688.5571753028894,1.0
GPT3-175B,96,96,1,32,32,2048,0.463063,0.00780939453125,0.026732,0.49760439453125,0.18108,48.101101875,1995.796276132604,1681.779822305143,3631.859643947245,1.0
OPT-66B,24,72,1,32,10,576,0.7914715,0.00113367431640625,0.026013750000000002,0.8186189243164061,0.429159,59.51972155078124,1209.6830785502043,688.381870475077,869.749410402114,1.0
OPT-66B,32,72,1,32,10,576,0.7914715,0.0016105114746093,0.02601375,0.8190957614746093,0.429159,59.55405382617187,1208.9857091870813,688.381870475077,869.749410402114,0.75
